coverage_exit_status=0

  ...collection.ts |    90.9 |      100 |    87.5 |   89.47 | 89-93             
  ...ure-guards.ts |     100 |      100 |     100 |     100 |                   
  ...report-hub.ts |     100 |       90 |     100 |     100 | 61                
  ...port-index.ts |     100 |       90 |     100 |     100 | 65                
  ...lease-note.ts |     100 |      100 |     100 |     100 |                   
  ...ort-status.ts |     100 |      100 |     100 |     100 |                   
  ...e-registry.ts |     100 |      100 |     100 |     100 |                   
  ...e-workflow.ts |   90.76 |    84.37 |     100 |   90.62 | 101-109,121-137   
  zflow-handoff.ts |    87.5 |       70 |     100 |    87.5 | 32,36             
  ...rt-catalog.ts |   94.11 |    83.33 |     100 |   93.75 | 92                
  ...port-suite.ts |     100 |    83.33 |     100 |     100 | 37                
  zflow-report.ts  |     100 |    66.66 |     100 |     100 | 48-52             
  ...w-workflow.ts |   88.46 |    65.21 |     100 |      88 | 66-70             
 src/runtime/write |   90.83 |    81.73 |   94.44 |   91.33 |                   
  ...rite-audit.ts |   81.25 |    63.63 |     100 |   81.25 | 37-45             
  ...write-diff.ts |     100 |    83.33 |     100 |     100 | 35                
  ...write-gate.ts |      96 |     87.5 |     100 |   95.83 | 90                
  ...ite-result.ts |   58.33 |       60 |      50 |   63.63 | 25-26,30,42       
  ...ile-writer.ts |      90 |    84.61 |     100 |      90 | 38,56             
  ...val-ticket.ts |     100 |      100 |     100 |     100 |                   
  ...-validator.ts |   96.96 |    96.15 |     100 |   96.87 | 42                
  write-intent.ts  |     100 |       50 |     100 |     100 | 51-55             
 src/sandbox       |   89.77 |    80.77 |   96.06 |   92.04 |                   
  ...mmand-plan.ts |     100 |    96.77 |     100 |     100 | 122               
  ...ner-policy.ts |     100 |    66.66 |     100 |     100 | 78-79             
  ...-discovery.ts |      82 |    62.29 |      75 |   84.44 | ...28,151,176,200 
  ...box-doctor.ts |   96.77 |     93.1 |   94.11 |     100 | 108-109           
  ...st-backend.ts |   74.13 |    62.41 |    93.1 |   77.56 | ...10-412,543-553 
  ...ox-history.ts |   88.46 |    87.17 |     100 |   91.48 | 152,172,182,190   
  ...e-commands.ts |   93.93 |       84 |     100 |     100 | 31,76,156-159     
  ...mage-store.ts |   84.21 |    63.51 |     100 |      90 | ...85,191,197,219 
  ...box-images.ts |   95.45 |    80.95 |     100 |     100 | 72-83,93          
  ...box-limits.ts |     100 |    88.23 |     100 |     100 | 89-91             
  ...box-policy.ts |     100 |      100 |     100 |     100 |                   
  ...-redaction.ts |     100 |      100 |     100 |     100 |                   
  ...x-registry.ts |   97.67 |    94.11 |     100 |   97.43 | 69                
  ...ox-request.ts |   99.13 |    97.45 |     100 |     100 | 54,111,212        
  ...ox-service.ts |   98.27 |    89.83 |   94.44 |   98.21 | 90                
 src/server        |   79.39 |    77.35 |   82.08 |   80.34 |                   
  boot-sweep.ts    |   66.66 |    59.52 |      50 |   71.42 | ...15-127,146,152 
  ...ent-script.ts |     100 |      100 |     100 |     100 |                   
  ...ript-logic.ts |     100 |      100 |     100 |     100 |                   
  chat-ui-html.ts  |     100 |      100 |     100 |     100 |                   
  ...yment-mode.ts |   88.63 |    87.71 |     100 |   90.24 | 46,56,64,72       
  ...s-registry.ts |   96.87 |    95.65 |   85.71 |      96 | 53                
  ...omy-client.ts |   80.76 |    86.66 |   77.77 |   78.26 | 76-82             
  ...t-executor.ts |   86.66 |    64.28 |      50 |    92.3 | 77                
  ...-bootstrap.ts |      50 |    73.07 |      25 |      50 | 34,37,40,45-58    
  ...hat-stream.ts |   78.34 |    73.21 |   80.64 |   78.84 | ...22,383,423-451 
  rate-limiter.ts  |     100 |      100 |     100 |     100 |                   
  ...s-registry.ts |     100 |      100 |     100 |     100 |                   
  ...t-provider.ts |     100 |    85.71 |     100 |     100 | 28,38,52          
  ...nt-request.ts |   84.33 |    86.36 |     100 |   83.95 | ...50,171,174,185 
  ...at-request.ts |      90 |    92.63 |     100 |      90 | ...41,147,150,153 
  ...hat-server.ts |   78.66 |    76.56 |   77.27 |    79.1 | ...1439,1481-1482 
  trusted-proxy.ts |   70.18 |    60.54 |      80 |   73.91 | ...15,335,365-366 
 src/skills        |   88.33 |    75.54 |   94.54 |   89.88 |                   
  ...led-skills.ts |     100 |      100 |     100 |     100 |                   
  ...-discovery.ts |   84.61 |    78.43 |   86.66 |   91.22 | 11,14,72,76,168   
  ...rontmatter.ts |   91.45 |    80.99 |     100 |   91.17 | ...70,222,231-232 
  ...l-renderer.ts |   82.19 |    53.57 |   93.75 |   82.85 | 65,93,150-161     
  skill-runtime.ts |     100 |    84.78 |     100 |     100 | 33-38,72-74,117   
 src/storage       |   96.77 |    88.63 |     100 |   97.27 |                   
  jsonl-store.ts   |     100 |      100 |     100 |     100 |                   
  ...ersistence.ts |     100 |    83.33 |     100 |     100 | 82                
  ...-migration.ts |   91.66 |    84.61 |     100 |   93.61 | 41,60,185         
  storage-paths.ts |     100 |      100 |     100 |     100 |                   
 src/telemetry     |     100 |    93.54 |     100 |     100 |                   
  cost-tracker.ts  |     100 |    93.54 |     100 |     100 | 213,224           
 src/testing       |   95.31 |    93.87 |   90.56 |   97.14 |                   
  ...oof-matrix.ts |     100 |    93.75 |     100 |     100 | 77                
  ...pter-proof.ts |   92.59 |    94.44 |      75 |   96.15 | 65                
  ...ance-proof.ts |    92.3 |     87.5 |   85.71 |   95.45 | 71                
  ...race-proof.ts |    93.1 |    94.44 |   85.71 |      96 | 59                
  ...of-harness.ts |   93.75 |    78.57 |     100 |   92.59 | 67,81             
  ...t-renderer.ts |   98.11 |    97.14 |     100 |   97.95 | 127               
